	0
83	http://www.worldportsource.com/ports/ARG_Port_of_Villa_Constitucion_1313.php
84	http://www.worldportsource.com/ports/ARG_Port_of_Zarate_205.php
85	http://www.worldportsource.com/ports/ABW_Port_of_Barcadera_1316.php
86	http://www.worldportsource.com/ports/AUS_Port_of_Abbot_Point_1517.php
87	http://www.worldportsource.com/ports/AUS_Port_of_Airlie_Island_4330.php
88	http://www.worldportsource.com/ports/AUS_Port_of_Albany_3281.php
89	http://www.worldportsource.com/ports/AUS_Port_of_Ardossan_503.php
90	http://www.worldportsource.com/ports/AUS_Port_of_Ballast_Head_3283.php
91	http://www.worldportsource.com/ports/AUS_Port_of_Barrow_Island_4331.php
92	http://www.worldportsource.com/ports/AUS_Beauty_Point_Harbour_4332.php
93	http://www.worldportsource.com/ports/AUS_Port_of_Bell_Bay_1632.php
94	http://www.worldportsource.com/ports/AUS_Port_of_Bing_Bong_4333.php
95	http://www.worldportsource.com/ports/AUS_Port_of_Bowen_4335.php
96	http://www.worldportsource.com/ports/AUS_Port_of_Broome_686.php
97	http://www.worldportsource.com/ports/AUS_Port_of_Bunbury_687.php
98	http://www.worldportsource.com/ports/AUS_Port_of_Bundaberg_3285.php
99	http://www.worldportsource.com/ports/AUS_Port_of_Burketown_4329.php
100	http://www.worldportsource.com/ports/AUS_Port_of_Burnie_488.php
101	http://www.worldportsource.com/ports/AUS_Port_of_Busselton_4336.php
102	http://www.worldportsource.com/ports/AUS_Cairns_Seaport_701.php
103	http://www.worldportsource.com/ports/AUS_Port_of_Cape_Cuvier_4337.php
104	http://www.worldportsource.com/ports/AUS_Port_of_Cape_Flattery_1519.php
105	http://www.worldportsource.com/ports/AUS_Port_of_Cape_Jervis_4338.php
106	http://www.worldportsource.com/ports/AUS_Port_of_Carnarvon_4339.php
107	http://www.worldportsource.com/ports/AUS_Port_of_Catherine_Hill_Bay_3300.php
108	http://www.worldportsource.com/ports/AUS_Coffs_Harbour_4340.php
109	http://www.worldportsource.com/ports/AUS_Port_of_Cooktown_4328.php
110	http://www.worldportsource.com/ports/AUS_Port_of_Crib_Point_4341.php
111	http://www.worldportsource.com/ports/AUS_Port_of_Currie_1638.php
112	http://www.worldportsource.com/ports/AUS_Port_of_Dampier_1630.php
113	http://www.worldportsource.com/ports/AUS_Port_of_Derby_5217.php
114	http://www.worldportsource.com/ports/AUS_Port_of_Devonport_1631.php
115	http://www.worldportsource.com/ports/AUS_Dover_Harbor_4359.php
116	http://www.worldportsource.com/ports/AUS_Port_of_Echuca_703.php
117	http://www.worldportsource.com/ports/AUS_Port_of_Eden_704.php
118	http://www.worldportsource.com/ports/AUS_Esperance_Port_Authority_489.php
119	http://www.worldportsource.com/ports/AUS_Port_of_Exmouth_4344.php
120	http://www.worldportsource.com/ports/AUS_Port_of_Finucane_Island_4347.php
121	http://www.worldportsource.com/ports/AUS_Port_of_Fisherman_Islands_4348.php
122	http://www.worldportsource.com/ports/AUS_Port_of_George_Town_4349.php
123	http://www.worldportsource.com/ports/AUS_Port_of_Geraldton_705.php
124	http://www.worldportsource.com/ports/AUS_Port_of_Grassy_1637.php
125	http://www.worldportsource.com/ports/AUS_Port_of_Hastings_4342.php
126	http://www.worldportsource.com/ports/AUS_Port_of_Hay_Point_1515.php
127	http://www.worldportsource.com/ports/AUS_Port_of_Hobart_491.php
128	http://www.worldportsource.com/ports/AUS_Port_of_Innisfail_4350.php
